formula_i,chaos,spatial,spectral,msm,total_iso_ints,min_iso_ints,max_iso_ints,formula,fdr,moldb_id,chem_mod,neutral_loss,adduct
209244,0.9983711340206186,0.9863271234329246,0.9973169833301904,0.9820785071433185,"[270336065536.0, 40981299200.0, 2027556608.0, 23868492.0]","[0, 0, 0, 0]","[566527744.0, 96156400.0, 8080318.5, 1464069.375]",C14H10O8,0.05,22.0,-CO2+CO,-H2O,+H
1546857,0.9992163332645906,0.9669378455203662,0.9953208201069799,0.9616591580524982,"[266543988736.0, 21917652992.0, 18363371520.0, 1149037952.0]","[0, 0, 0, 0]","[172280288.0, 14392758.0, 12869743.0, 2122142.75]",C8H20NO6P,0.05,22.0,,,+K
1059759,0.9987201007133865,0.8961239737481167,0.9846409789442228,0.8812310543371737,"[136589819904.0, 59068723200.0, 11829800960.0, 6581668.0]","[0, 0, 0, 0]","[112890256.0, 50658448.0, 7479748.5, 1857072.125]",C42H78NO8P,0.05,22.0,,,+H
652046,0.9991340206185567,0.9495932702968172,0.98601012087167,0.9354977513034762,"[44760743936.0, 0, 11155640320.0, 433663296.0]","[0, 0, 0, 0]","[71965800.0, 0, 18272150.0, 2322416.25]",C25H49NO4,0.05,22.0,,,+H
765912,0.9986195129517605,0.8296162493933598,0.9632648853813307,0.7980369986846483,"[14128320512.0, 3281110528.0, 13835648.0, 0]","[0, 0, 0, 0]","[18724748.0, 6365766.0, 1137532.75, 0]",C29H57NO4,0.05,22.0,,,+H
178877,0.9988659793814433,0.8458632257013889,0.9802409195447633,0.8282094732626006,"[28409368576.0, 2867822336.0, 695260.5, 0]","[0, 0, 0, 0]","[47888780.0, 6963106.5, 695260.5, 0]",C14H14O8,0.05,22.0,,,+Na
1157582,0.9989362477231329,0.9076532659874164,0.9830613448348604,0.8913296766573677,"[1729757970432.0, 822535585792.0, 207540453376.0, 1931681024.0]","[0, 0, 0, 0]","[949446656.0, 429594016.0, 166474352.0, 31018910.0]",C47H78NO8P,0.05,22.0,,-H2O,+H
1157582,0.9989362477231329,0.9076532659874164,0.9830613448348604,0.8913296766573677,"[1729757970432.0, 822535585792.0, 207540453376.0, 1931681024.0]","[0, 0, 0, 0]","[949446656.0, 429594016.0, 166474352.0, 31018910.0]",C47H76NO8P,0.05,22.0,-CO2+CO,,+H
1075304,0.9990680400812837,0.873744754516285,0.9624467820137483,0.8401491115962281,"[91579940864.0, 36595212288.0, 4403909120.0, 49105972.0]","[0, 0, 0, 0]","[62362628.0, 27047300.0, 8204744.5, 3998852.0]",C43H72NO8P,0.05,22.0,,-H2O,+H
1058290,0.9990662323561347,0.8626104910426151,0.9855627524793209,0.8493629209855811,"[276057292800.0, 118936125440.0, 25262422016.0, 532581376.0]","[0, 0, 0, 0]","[283394752.0, 149083920.0, 18589106.0, 4025611.5]",C42H76NO8P,0.05,22.0,,,+H
1105512,0.9962666666666666,0.7608949489884816,0.9965476855168194,0.7554372327613222,"[147599425536.0, 76433498112.0, 19140792320.0, 1907555328.0]","[0, 0, 0, 0]","[128505288.0, 60260540.0, 16440740.0, 2988090.0]",C44H86NO8P,0.05,22.0,,,+H
1267692,0.9985535994710306,0.7708016071482803,0.9675655074485837,0.7447223211320414,"[28392304640.0, 16008927232.0, 1771695488.0, 0]","[0, 0, 0, 0]","[20620554.0, 12464037.0, 4230904.5, 0]",C53H94O6,0.05,22.0,,,+H
170897,0.9987972508591065,0.9704564823452136,0.9947975799900554,0.9642466167685809,"[212146356224.0, 31290195968.0, 965326656.0, 0]","[0, 0, 0, 0]","[375521152.0, 56939660.0, 4736437.5, 0]",C14H10O8,0.05,22.0,-CO2+CO,,+Na
1546863,0.9985017182130584,0.8531829408939341,0.9942152115310244,0.8469765443383002,"[179609600000.0, 0, 14549860352.0, 259411760.0]","[0, 0, 0, 0]","[96444624.0, 0, 8646670.0, 1246017.5]",C8H20NO6P,0.05,22.0,,,+Na
682333,0.9991040179196417,0.7952733419194449,0.9792193027779159,0.7780492640284659,"[30127927296.0, 7546278400.0, 987122.625, 0]","[0, 0, 0, 0]","[39894816.0, 9944447.0, 987122.625, 0]",C26H52NO7P,0.05,22.0,,,+H
1018719,0.9991053524602808,0.8317573112567387,0.9799050153679515,0.8143139845108037,"[87557464064.0, 35458662400.0, 6042514944.0, 0]","[0, 0, 0, 0]","[86296160.0, 20466656.0, 6747193.0, 0]",C40H74NO8P,0.05,22.0,,,+H
1494570,0.999127147766323,0.9323010559008511,0.9952665570617288,0.9270781528838906,"[85843623936.0, 5761522176.0, 71867264.0, 0]","[0, 0, 0, 0]","[156117072.0, 12880495.0, 1521651.5, 0]",C7H8O6,0.05,22.0,-CO2+CO,-H2O,+Na
1494570,0.999127147766323,0.9323010559008511,0.9952665570617288,0.9270781528838906,"[85843623936.0, 5761522176.0, 71867264.0, 0]","[0, 0, 0, 0]","[156117072.0, 12880495.0, 1521651.5, 0]",C7H6O5,0.05,22.0,-CO2+CO,,+Na
1494570,0.999127147766323,0.9323010559008511,0.9952665570617288,0.9270781528838906,"[85843623936.0, 5761522176.0, 71867264.0, 0]","[0, 0, 0, 0]","[156117072.0, 12880495.0, 1521651.5, 0]",C7H6O4,0.05,22.0,,,+Na
711613,0.9988255033557047,0.8766815324261333,0.9834723289226102,0.8611793867744564,"[34181406720.0, 9254405120.0, 76627280.0, 643257.8125]","[0, 0, 0, 0]","[31433992.0, 9213808.0, 1522194.875, 643257.8125]",C27H46O,0.05,22.0,,-H2O,+H
467132,0.982051282051282,0.8827344380718647,0.9788252707635419,0.8485343152874677,"[75259520.0, 12316507.0, 0, 0]","[0, 0, 0, 0]","[22853294.0, 4638769.5, 0, 0]",C20H38O2,0.05,22.0,,,+H
467132,0.982051282051282,0.8827344380718647,0.9788252707635419,0.8485343152874677,"[75259520.0, 12316507.0, 0, 0]","[0, 0, 0, 0]","[22853294.0, 4638769.5, 0, 0]",C20H40O3,0.05,22.0,,-H2O,+H
711613,0.9988255033557047,0.8766815324261333,0.9834723289226102,0.8611793867744564,"[34181406720.0, 9254405120.0, 76627280.0, 643257.8125]","[0, 0, 0, 0]","[31433992.0, 9213808.0, 1522194.875, 643257.8125]",C27H46O2,0.05,22.0,-CO2+CO,-H2O,+H
470243,0.998211895199847,0.8863090306927852,0.970253708571486,0.8584069528600872,"[13827915776.0, 2106523520.0, 11624303.0, 0]","[0, 0, 0, 0]","[56641108.0, 12959860.0, 1232589.0, 0]",C21H14O10,0.05,22.0,,-H2O,+H
