4	3	2	1	epik_dhb_head_ito01_01	epik_dhb_head_ito01_02	epik_dhb_head_ito01_03	epik_dhb_head_ito01_04	epik_dhb_head_ito01_05	epik_dhb_head_ito01_06	epik_dhb_head_ito03_13	epik_dhb_head_ito03_14	epik_dhb_head_ito03_16	epik_dhb_head_ito03_17	epik_dhb_head_ito03_18	epik_dhb_head_ito08_43	epik_dhb_head_ito08_44	epik_dhb_head_ito08_46	epik_dhb_head_ito08_47	epik_dhb_head_ito08_48
+H	C10H14N5O7P	HMDB00045	Adenosine monophosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
+H	C10H14N5O7P	HMDB01044	2'-Deoxyguanosine 5'-monophosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
+H	C10H14N5O7P	HMDB03540	3'-AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
+H	C10H14N5O7P	HMDB11617	Adenosine 2'-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
+H	C10H14N5O7P	HMDB59594	2-hydroxy-dAMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
+H	C16H28O11	HMDB39953	1-(3-Methylbutanoyl)-6-apiosylglucose	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
+H	C21H27N7O14P2	HMDB39421	Fenugreekine	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
+H	C21H29N7O14P2	HMDB01487	NADH	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
+H	C23H46NO7P	HMDB11475	LysoPE(0:0/18:1(11Z))	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
+H	C23H46NO7P	HMDB11476	LysoPE(0:0/18:1(9Z))	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
+H	C23H46NO7P	HMDB11505	LysoPE(18:1(11Z)/0:0)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
+H	C23H46NO7P	HMDB11506	LysoPE(18:1(9Z)/0:0)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
+H	C24H50NO7P	HMDB10382	LysoPC(16:0)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
+H	C25H40O3	HMDB38523	Methyl 2-(10-heptadecenyl)-6-hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
+H	C25H44NO7P	HMDB11487	LysoPE(0:0/20:4(5Z8Z11Z14Z))	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
+H	C25H44NO7P	HMDB11488	LysoPE(0:0/20:4(8Z11Z14Z17Z))	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
