id,name,formula,inchi,added by,comment
EMBL_dev1_59,DHB; 0*M+1*(M-H2O)-0*H+0*K+0*Na,C7H4O3,,Theodore,DHB matrix cluster
EMBL_dev1_60,DHB; 0*M+1*(M-H2O)-1*H+0*K+1*Na,C7H3NaO3,,Theodore,DHB matrix cluster
EMBL_dev1_61,DHB; 0*M+1*(M-H2O)-2*H+0*K+2*Na,C7H2Na2O3,,Theodore,DHB matrix cluster
EMBL_dev1_62,DHB; 0*M+1*(M-H2O)-1*H+1*K+0*Na,C7H3KO3,,Theodore,DHB matrix cluster
EMBL_dev1_63,DHB; 0*M+1*(M-H2O)-2*H+1*K+1*Na,C7H2NaKO3,,Theodore,DHB matrix cluster
EMBL_dev1_64,DHB; 0*M+1*(M-H2O)-2*H+2*K+0*Na,C7H2K2O3,,Theodore,DHB matrix cluster
EMBL_dev1_65,DHB; 0*M+2*(M-H2O)-0*H+0*K+0*Na,C14H8O6,,Theodore,DHB matrix cluster
EMBL_dev1_66,DHB; 0*M+2*(M-H2O)-1*H+0*K+1*Na,C14H7NaO6,,Theodore,DHB matrix cluster
EMBL_dev1_67,DHB; 0*M+2*(M-H2O)-2*H+0*K+2*Na,C14H6Na2O6,,Theodore,DHB matrix cluster
EMBL_dev1_68,DHB; 0*M+2*(M-H2O)-3*H+0*K+3*Na,C14H5Na3O6,,Theodore,DHB matrix cluster
EMBL_dev1_69,DHB; 0*M+2*(M-H2O)-1*H+1*K+0*Na,C14H7KO6,,Theodore,DHB matrix cluster
EMBL_dev1_70,DHB; 0*M+2*(M-H2O)-2*H+1*K+1*Na,C14H6NaKO6,,Theodore,DHB matrix cluster
EMBL_dev1_71,DHB; 0*M+2*(M-H2O)-3*H+1*K+2*Na,C14H5Na2KO6,,Theodore,DHB matrix cluster
EMBL_dev1_72,DHB; 0*M+2*(M-H2O)-2*H+2*K+0*Na,C14H6K2O6,,Theodore,DHB matrix cluster
EMBL_dev1_73,DHB; 0*M+2*(M-H2O)-3*H+2*K+1*Na,C14H5NaK2O6,,Theodore,DHB matrix cluster
EMBL_dev1_74,DHB; 0*M+2*(M-H2O)-3*H+3*K+0*Na,C14H5K3O6,,Theodore,DHB matrix cluster
EMBL_dev1_75,DHB; 0*M+3*(M-H2O)-0*H+0*K+0*Na,C21H12O9,,Theodore,DHB matrix cluster
EMBL_dev1_76,DHB; 0*M+3*(M-H2O)-1*H+0*K+1*Na,C21H11NaO9,,Theodore,DHB matrix cluster
EMBL_dev1_77,DHB; 0*M+3*(M-H2O)-2*H+0*K+2*Na,C21H10Na2O9,,Theodore,DHB matrix cluster
EMBL_dev1_78,DHB; 0*M+3*(M-H2O)-3*H+0*K+3*Na,C21H9Na3O9,,Theodore,DHB matrix cluster
EMBL_dev1_79,DHB; 0*M+3*(M-H2O)-1*H+1*K+0*Na,C21H11KO9,,Theodore,DHB matrix cluster
EMBL_dev1_80,DHB; 0*M+3*(M-H2O)-2*H+1*K+1*Na,C21H10NaKO9,,Theodore,DHB matrix cluster
