id	formula	name
LMFA00000001	C40H66O5	2-methoxy-12-methyloctadec-17-en-5-ynoyl anhydride
LMFA00000002	C13H25NO5	Serratamic acid
LMFA00000003	C38H74N2O5	N-(3-(hexadecanoyloxy)-heptadecanoyl)-L-ornithine
LMFA00000004	C23H38N2O4	N-linolenoyl-glutamine
LMFA00000005	C37H71NO6	N-(3-(15-methyl-hexadecanoyloxy)-13-methyl-tetradecanoyl)-L-serine
LMFA00000006	C39H76N2O7	Lysine-containing siolipin
LMFA00000007	C10H21NO2	n-decanohydroxamic acid
LMFA00000008	C18H37O7P	(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoic acid
LMFA00000009	C12H24N2O3	N-(6-aminohexanoyl)-6-aminohexanoic acid
LMFA00000014	C22H37NO2	Virodhamine
LMFA00000015	C47H75N5O8	Dideoxymycobactin
LMFA00000016	C22H46O8S2	Docosanediol-1,14-disulfate
LMFA00000017	C22H45ClO8S2	13-chloro-docosane-1,14-disulfate
LMFA00000018	C22H44Cl2O8S2	11,15-dichloro-docosane-1,14-disulfate
LMFA00000019	C22H40Cl6O8S2	2,2,11,13,15,16-hexachloro-docosane-1,14-disulfate
LMFA00000020	C22H41Cl5O8S2	2,2,11,13,15-pentachloro-docosane-1,14-disulfate
LMFA00000021	C22H41Cl5O8S2	2,2,11,13,16-pentachloro-docosane-1,14-disulfate
LMFA00000022	C22H44Cl2O8S2	2,2-dichloro-docosane-1,14-disulfate
LMFA00000023	C24H49ClO8S2	14-chlorotetracosane-1,15-disulfate
LMFA00000024	C24H45Cl5O8S2	2,12,14,16,17-pentachlorotetracosane-1,15-disulfate
LMFA00000025	C24H44Cl6O8S2	2,2,12,14,16,17-hexachlorotetracosane-1,15-disulfate
LMFA00000026	C24H43Cl5O5S	11,12,13,15,16-pentachloro-14-hydroxytetracos-1Z-enyl sulfate
LMFA01010001	C16H32O2	Palmitic acid
LMFA01010002	C2H4O2	Acetic acid
LMFA01010003	C3H6O2	Propionic acid
LMFA01010004	C4H8O2	Butyric acid
LMFA01010005	C5H10O2	Valeric acid
LMFA01010006	C6H12O2	Caproic acid
LMFA01010007	C7H14O2	Heptylic acid
LMFA01010008	C8H16O2	Caprylic acid
LMFA01010009	C9H18O2	Pelargonic acid
LMFA01010010	C10H20O2	Capric acid
LMFA01010011	C11H22O2	Undecylic acid
LMFA01010012	C12H24O2	Lauric acid
LMFA01010013	C13H26O2	Tridecylic acid
LMFA01010014	C14H28O2	Myristic acid
LMFA01010015	C15H30O2	Pentadecylic acid
LMFA01010017	C17H34O2	Margaric acid
LMFA01010018	C18H36O2	Stearic acid
LMFA01010019	C19H38O2	Nonadecylic acid
LMFA01010020	C20H40O2	Arachidic acid
LMFA01010021	C21H42O2	Heneicosylic acid
LMFA01010022	C22H44O2	Behenic acid
LMFA01010023	C23H46O2	Tricosylic acid
LMFA01010024	C24H48O2	Lignoceric acid
