mol_id,mol_name,formula,adduct,mz
0,CHCA+H,C10H7NO3,+H,190.04986954609078
1,CHCA+H-CO2,C9H7NO,+H,146.06004030609077
2,CHCA+Na,C10H7NO3,+Na,212.03181417409078
3,CHCA+Na-CO2,C9H7NO,+Na,168.04198493409078
4,CHCA+K,C10H7NO3,+K,228.00575141409078
5,CHCA+K-H2O,C10H5NO2,+K,209.99518673009078
6,CHCA+K-CO2,C9H7NO,+K,184.01592217409078
7,CHCA-H+2Na,C10H7NO3,-H+Na2,234.01375880209073
8,CHCA-H+Na+K,C10H7NO3,-H+Na+K,249.9876960420908
9,CHCA-H+Na+K-CO2,C9H7NO,-H+Na+K,205.99786680209078
10,CHCA-H+2K,C10H7NO3,-H+K2,265.96163328209076
11,CHCA-H+2K-CO2,C9H7NO,-H+K2,221.97180404209078
12,2CHCA+Na,C20H14N2O6,+Na,401.0744072680907
13,2CHCA+K,C20H14N2O6,+K,417.04834450809074
14,2CHCA+K-CO2,C19H14N2O4,+K,373.05851526809073
15,2CHCA-H+2Na,C20H14N2O6,-H+Na2,423.05635189609075
16,2CHCA-H+Na+K,C20H14N2O6,-H+Na+K,439.0302891360907
17,2CHCA-H+2K,C20H14N2O6,-H+K2,455.00422637609074
18,2CHCA-H+2K-H2O,C20H12N2O5,-H+K2,436.9936616920907
19,2CHCA-H+2K-CO2,C19H14N2O4,-H+K2,411.01439713609074
20,2CHCA-2H+2Na+K,C20H14N2O6,-H2+Na2+K,461.01223376409075
21,2CHCA-2H+Na+2K,C20H14N2O6,-H2+Na+K2,476.9861710040907
22,2CHCA-2H+Na+2K-CO2,C19H14N2O4,-H2+Na+K2,432.99634176409074
23,3CHCA-H+Na+K,C30H21N3O9,-H+Na+K,628.0728822300907
24,3CHCA-H+Na+K-CO2,C29H21N3O7,-H+Na+K,584.0830529900907
25,3CHCA-H+2K-CO2,C29H21N3O7,-H+K2,600.0569902300907
26,3CHCA-2H+2Na+K,C30H21N3O9,-H2+Na2+K,650.0548268580908
27,3CHCA-2H+Na+2K,C30H21N3O9,-H2+Na+K2,666.0287640980907
28,3CHCA-2H+Na+2K-CO2,C29H21N3O7,-H2+Na+K2,622.0389348580907
29,3CHCA-2H+3K,C30H21N3O9,-H2+K3,682.0027013380907
30,3CHCA-2H+3K-CO2,C29H21N3O7,-H2+K3,638.0128720980907
31,3CHCA-3H+3Na+K,C30H21N3O9,-H3+Na3+K,672.0367714860906
32,3CHCA-3H+2Na+2K,C30H21N3O9,-H3+Na2+K2,688.0107087260908
33,3CHCA-3H+Na+3K,C30H21N3O9,-H3+Na+K3,703.9846459660907
34,3CHCA-3H+4K,C30H21N3O9,-H3+K4,719.9585832060907
35,4CHCA-2H+3K,C40H28N4O12,-H2+K3,871.0452944320907
36,4CHCA-3H+4K,C40H28N4O12,-H3+K4,909.0011763000907
37,4CHCA-4H+2Na+3K,C40H28N4O12,-H4+Na2+K3,915.0091836880906
38,4CHCA-4H+Na+4K,C40H28N4O12,-H4+Na+K4,930.9831209280908
