mol_id,mol_name,formula,adduct,mz
0,DCTB-H,C17H18N2,-H,249.13862498409077
1,DCTB,C17H18N2,,250.14645001609077
2,DCTB+H,C17H18N2,+H,251.15427504809077
3,DCTB+H+H2O,C17H20N2O,+H,269.16483973209074
4,DCTB+H-CH2,C16H16N2,+H,237.13862498409077
5,DCTB+H-CH3+H2O,C16H17N2O,+H,254.14136463609077
6,DCTB-H-CH3,C16H15N2,-H,234.11514988809077
7,DCTB-H-CH4,C16H14N2,-H,233.10732485609077
8,DCTB+H-CH4,C16H14N2,+H,235.12297492009077
9,DCTB+H-C2H4,C15H14N2,+H,223.12297492009077
10,DCTB+H-2CH4,C15H10N2,+H,219.09167479209077
11,DCTB+H-C4H8,C13H10N2,+H,195.09167479209077
12,DCTB+Na,C17H18N2,+Na,273.1362196760907
13,DCTB+Na-CH2,C16H16N2,+Na,259.1205696120907
14,DCTB+Na-C4H8,C13H10N2,+Na,217.07361942009078
15,DCTB+K,C17H18N2,+K,289.1101569160907
16,DCTB+K+H2O,C17H20N2O,+K,307.1207216000907
17,DCTB+K-CH2,C16H16N2,+K,275.0945068520907
18,DCTB+K-CH3,C16H15N2,+K,274.08668182009075
19,DCTB+K-CH4,C16H14N2,+K,273.0788567880907
20,DCTB+K-C2H4,C15H14N2,+K,261.0788567880907
21,DCTB+K-C2H6,C15H12N2,+K,259.0632067240907
22,DCTB+K-2CH4,C15H10N2,+K,257.0475566600907
23,DCTB+K-C4H8,C13H10N2,+K,233.04755666009078
24,2DCTB+H,C34H36N4,+H,501.30127364409077
25,2DCTB-H,C34H36N4,-H,499.28562358009077
26,2DCTB+H-CH4,C33H32N4,+H,485.2699735160908
27,2DCTB+NH4,C34H40N5,,518.3278227500907
28,2DCTB+Na,C34H36N4,+Na,523.2832182720907
29,2DCTB+Na-CH2,C33H34N4,+Na,509.2675682080907
30,2DCTB+K,C34H36N4,+K,539.2571555120907
31,2DCTB+K-CH2,C33H34N4,+K,525.2415054480907
