mol_id,mol_name,formula,adduct,mz
0,DHAP-H,C8H8O3,-H,151.04006766390924
1,DHAP-2H+K,C8H8O3,-H2+K,188.99594953190925
2,2DHAP-H,C16H16O6,-H,303.08741177990925
3,2DHAP-3H,C16H16O6,-H3,301.07176171590925
4,2DHAP-2H+Na,C16H16O6,-H2+Na,325.06935640790925
5,2DHAP-2H+K,C16H16O6,-H2+K,341.04329364790925
6,3DHAP-H,C24H24O9,-H,455.1347558959093
7,3DHAP-3H,C24H24O9,-H3,453.1191058319093
8,3DHAP-5H,C24H24O9,-H5,451.1034557679093
9,3DHAP-7H,C24H24O9,-H7,449.0878057039093
10,3DHAP-3H+2K,C24H24O9,-H3+K2,531.0465196319093
11,4DHAP-7H,C32H32O12,-H7,601.1351498199092
