mol_id,mol_name,formula,adduct,mz
0,DHAP+H,C8H8O3,+H,153.05462056809077
1,DHAP+H-H2O,C8H6O2,+H,135.04405588409077
2,DHAP+Na,C8H8O3,+Na,175.03656519609078
3,DHAP+K,C8H8O3,+K,191.01050243609077
4,DHAP-H+2Na,C8H8O3,-H+Na2,197.01850982409073
5,DHAP-H+Na+K,C8H8O3,-H+Na+K,212.99244706409078
6,DHAP-H+2K,C8H8O3,-H+K2,228.96638430409072
7,DHAP-2H+3K,C8H8O3,-H2+K3,266.9222661720907
8,2DHAP+H,C16H16O6,+H,305.1019646840907
9,2DHAP-2H+2Na+K,C16H16O6,-H2+Na2+K,387.02173580809074
10,2DHAP-2H+Na+2K,C16H16O6,-H2+Na+K2,402.9956730480907
11,2DHAP-2H+3K,C16H16O6,-H2+K3,418.96961028809073
