mol_id,mol_name,formula,adduct,mz
0,DHB-H,C7H6O4,-H,153.01933221990922
1,DHB-2H,C7H6O4,-H2,152.01150718790925
2,2DHB-H,C14H12O8,-H,307.04594089190925
3,2DHB-2H,C14H12O8,-H2,306.0381158599092
4,2DHB-H-H2O,C14H10O7,-H,289.0353762079093
5,2DHB-2H-H2O,C14H10O7,-H2,288.02755117590925
6,2DHB-H-2H2O,C14H8O6,-H,271.02481152390925
7,2DHB-2H+Na,C14H12O8,-H2+Na,329.02788551990926
8,2DHB-3H+Na,C14H12O8,-H3+Na,328.0200604879093
9,2DHB-2H+Na-H2O,C14H10O7,-H2+Na,311.01732083590923
10,2DHB-3H+Na-H2O,C14H10O7,-H3+Na,310.00949580390926
11,2DHB-2H+K,C14H12O8,-H2+K,345.00182275990926
12,2DHB-3H+K,C14H12O8,-H3+K,343.99399772790923
13,2DHB-2H+K-H2O,C14H10O7,-H2+K,326.9912580759093
14,2DHB-3H+K-H2O,C14H10O7,-H3+K,325.98343304390926
15,3DHB-H-H2O,C21H16O11,-H,443.0619848799093
16,3DHB-2H-H2O,C21H16O11,-H2,442.05415984790926
17,3DHB-H-2H2O,C21H14O10,-H,425.05142019590926
18,3DHB-2H-2H2O,C21H14O10,-H2,424.04359516390923
19,3DHB-H-3H2O,C21H12O9,-H,407.0408555119093
20,3DHB-2H+Na-H2O,C21H16O11,-H2+Na,465.04392950790924
21,3DHB-3H+Na-H2O,C21H16O11,-H3+Na,464.03610447590927
22,3DHB-2H+Na-2H2O,C21H14O10,-H2+Na,447.0333648239092
23,3DHB-3H+Na-2H2O,C21H14O10,-H3+Na,446.0255397919093
24,3DHB-2H+K-H2O,C21H16O11,-H2+K,481.01786674790924
25,3DHB-3H+K-H2O,C21H16O11,-H3+K,480.01004171590927
26,3DHB-2H+K-2H2O,C21H14O10,-H2+K,463.00730206390926
27,3DHB-3H+K-2H2O,C21H14O10,-H3+K,461.99947703190924
28,3DHB-3H+2Na,C21H18O12,-H3+Na2,505.0364388199093
29,3DHB-4H+2Na,C21H18O12,-H4+Na2,504.02861378790925
30,3DHB-3H+Na+K,C21H18O12,-H3+Na+K,521.0103760599093
31,3DHB-4H+Na+K,C21H18O12,-H4+Na+K,520.0025510279092
32,3DHB-3H+2K,C21H18O12,-H3+K2,536.9843132999092
33,3DHB-4H+2K,C21H18O12,-H4+K2,535.9764882679092
34,4DHB-H-2H2O,C28H20O14,-H,579.0780288679093
35,4DHB-2H-2H2O,C28H20O14,-H2,578.0702038359093
36,4DHB-H-3H2O,C28H18O13,-H,561.0674641839092
37,4DHB-2H-3H2O,C28H18O13,-H2,560.0596391519092
38,4DHB-H-4H2O,C28H16O12,-H,543.0568994999093
39,4DHB-2H+Na-2H2O,C28H20O14,-H2+Na,601.0599734959092
40,4DHB-3H+Na-2H2O,C28H20O14,-H3+Na,600.0521484639092
41,4DHB-2H+Na-3H2O,C28H18O13,-H2+Na,583.0494088119092
42,4DHB-2H+K-2H2O,C28H20O14,-H2+K,617.0339107359092
43,4DHB-3H+K-2H2O,C28H20O14,-H3+K,616.0260857039093
44,4DHB-3H+2Na-H2O,C28H22O15,-H3+Na2,641.0524828079093
45,4DHB-4H+2Na-H2O,C28H22O15,-H4+Na2,640.0446577759093
46,4DHB-3H+Na+K-H2O,C28H22O15,-H3+Na+K,657.0264200479093
47,4DHB-4H+Na+K-H2O,C28H22O15,-H4+Na+K,656.0185950159092
48,4DHB-3H+2K-H2O,C28H22O15,-H3+K2,673.0003572879093
49,5DHB-H-3H2O,C35H24O17,-H,715.0940728559092
50,5DHB-2H-3H2O,C35H24O17,-H2,714.0862478239092
51,5DHB-H-4H2O,C35H22O16,-H,697.0835081719092
52,5DHB-2H+Na-2H2O,C35H26O18,-H2+Na,755.0865821679092
53,5DHB-2H+Na-3H2O,C35H24O17,-H2+Na,737.0760174839093
54,5DHB-3H+Na-3H2O,C35H24O17,-H3+Na,736.0681924519092
55,5DHB-2H+K-2H2O,C35H26O18,-H2+K,771.0605194079092
56,5DHB-2H+K-3H2O,C35H24O17,-H2+K,753.0499547239092
57,5DHB-3H+K-3H2O,C35H24O17,-H3+K,752.0421296919092
58,5DHB-2H+K-4H2O,C35H22O16,-H2+K,735.0393900399092
59,5DHB-3H+2Na-2H2O,C35H26O18,-H3+Na2,777.0685267959093
60,5DHB-3H+Na+K-2H2O,C35H26O18,-H3+Na+K,793.0424640359092
61,5DHB-4H+Na+K-2H2O,C35H26O18,-H4+Na+K,792.0346390039092
62,5DHB-4H+Na+K-3H2O,C35H24O17,-H4+Na+K,774.0240743199092
63,5DHB-4H+2K-2H2O,C35H26O18,-H4+K2,808.0085762439093
64,5DHB-4H+2Na+K-H2O,C35H28O19,-H4+Na2+K,833.0349733479093
65,5DHB-4H+Na+2K-H2O,C35H28O19,-H4+Na+K2,849.0089105879092
