mol_id,mol_name,formula,adduct,mz
0,DHB+H,C7H6O4,+H,155.03388512409074
1,DHB+H-H2O,C7H4O3,+H,137.02332044009077
2,2DHB+H-H2O,C14H10O7,+H,291.0499291120907
3,2DHB+H-2H2O,C14H8O6,+H,273.0393644280907
4,3DHB+H-2H2O,C21H14O10,+H,427.0659731000908
5,3DHB+H-3H2O,C21H12O9,+H,409.05540841609076
6,4DHB+H-4H2O,C28H16O12,+H,545.0714524040907
7,5DHB+H-4H2O,C35H22O16,+H,699.0980610760907
8,5DHB+H-5H2O,C35H20O15,+H,681.0874963920908
9,6DHB+H-6H2O,C42H24O18,+H,817.1035403800907
10,7DHB+H-6H2O,C49H30O22,+H,971.1301490520907
11,7DHB+H-7H2O,C49H28O21,+H,953.1195843680907
12,8DHB+H-7H2O,C56H34O25,+H,1107.1461930400906
13,8DHB+H-8H2O,C56H32O24,+H,1089.1356283560908
14,9DHB+H-8H2O,C63H38O28,+H,1243.1622370280907
15,9DHB+H-9H2O,C63H36O27,+H,1225.1516723440907
16,10DHB+H-9H2O,C70H42O31,+H,1379.1782810160908
17,10DHB+H-10H2O,C70H40O30,+H,1361.1677163320908
18,DHB+Na,C7H6O4,+Na,177.01582975209075
19,DHB+Na-H2O,C7H4O3,+Na,159.00526506809078
20,2DHB+Na-H2O,C14H10O7,+Na,313.03187374009076
21,2DHB+Na-2H2O,C14H8O6,+Na,295.02130905609073
22,3DHB+Na-2H2O,C21H14O10,+Na,449.04791772809074
23,3DHB+Na-3H2O,C21H12O9,+Na,431.0373530440907
24,4DHB+Na-2H2O,C28H20O14,+Na,603.0745264000907
25,4DHB+Na-3H2O,C28H18O13,+Na,585.0639617160907
26,4DHB+Na-4H2O,C28H16O12,+Na,567.0533970320907
27,5DHB+Na-3H2O,C35H24O17,+Na,739.0905703880907
28,5DHB+Na-4H2O,C35H22O16,+Na,721.0800057040907
29,5DHB+Na-5H2O,C35H20O15,+Na,703.0694410200907
30,6DHB+Na-4H2O,C42H28O20,+Na,875.1066143760906
31,6DHB+Na-5H2O,C42H26O19,+Na,857.0960496920907
32,7DHB+Na-6H2O,C49H30O22,+Na,993.1120936800908
33,9DHB+Na-8H2O,C63H38O28,+Na,1265.1441816560907
34,9DHB+Na-9H2O,C63H36O27,+Na,1247.1336169720907
35,DHB+K,C7H6O4,+K,192.98976699209075
36,DHB+K-H2O,C7H4O3,+K,174.97920230809078
37,2DHB+K,C14H12O8,+K,347.01637566409073
38,2DHB+K-H2O,C14H10O7,+K,329.0058109800907
39,2DHB+K-2H2O,C14H8O6,+K,310.9952462960907
40,3DHB+K-2H2O,C21H14O10,+K,465.0218549680907
41,3DHB+K-3H2O,C21H12O9,+K,447.0112902840907
42,4DHB+K-2H2O,C28H20O14,+K,619.0484636400906
43,4DHB+K-3H2O,C28H18O13,+K,601.0378989560907
44,4DHB+K-4H2O,C28H16O12,+K,583.0273342720907
45,5DHB+K-3H2O,C35H24O17,+K,755.0645076280907
46,5DHB+K-4H2O,C35H22O16,+K,737.0539429440907
47,5DHB+K-5H2O,C35H20O15,+K,719.0433782600907
48,6DHB+K-4H2O,C42H28O20,+K,891.0805516160908
49,6DHB+K-5H2O,C42H26O19,+K,873.0699869320908
50,6DHB+K-6H2O,C42H24O18,+K,855.0594222480908
51,7DHB+K-5H2O,C49H32O23,+K,1027.0965956040907
52,7DHB+K-6H2O,C49H30O22,+K,1009.0860309200908
53,7DHB+K-7H2O,C49H28O21,+K,991.0754662360907
54,8DHB+K-6H2O,C56H36O26,+K,1163.1126395920908
55,8DHB+K-7H2O,C56H34O25,+K,1145.1020749080908
56,8DHB+K-8H2O,C56H32O24,+K,1127.0915102240906
57,9DHB+K-8H2O,C63H38O28,+K,1281.118118896091
58,9DHB+K-9H2O,C63H36O27,+K,1263.1075542120907
59,10DHB+K-9H2O,C70H42O31,+K,1417.1341628840908
60,DHB-H+2Na,C7H6O4,-H+Na2,198.99777438009076
61,DHB-H+Na+K,C7H6O4,-H+Na+K,214.97171162009076
62,DHB-H+2K,C7H6O4,-H+K2,230.94564886009076
63,2DHB-H+Na+K-H2O,C14H10O7,-H+Na+K,350.98775560809077
64,2DHB-H+2K-H2O,C14H10O7,-H+K2,366.9616928480907
65,3DHB-H+2Na-2H2O,C21H14O10,-H+Na2,471.0298623560908
66,3DHB-H+Na+K-2H2O,C21H14O10,-H+Na+K,487.00379959609074
67,3DHB-H+Na+K-3H2O,C21H12O9,-H+Na+K,468.9932349120907
68,3DHB-H+2K-2H2O,C21H14O10,-H+K2,502.9777368360908
69,3DHB-H+2K-3H2O,C21H12O9,-H+K2,484.96717215209077
70,3DHB-2H+2Na+K-H2O,C21H16O11,-H2+Na2+K,526.9963089080907
71,3DHB-2H+Na+2K-H2O,C21H16O11,-H2+Na+K2,542.9702461480907
72,3DHB-2H+3K-H2O,C21H16O11,-H2+K3,558.9441833880908
73,4DHB-H+2Na-2H2O,C28H20O14,-H+Na2,625.0564710280908
74,4DHB-H+2Na-3H2O,C28H18O13,-H+Na2,607.0459063440908
75,4DHB-H+Na+K-2H2O,C28H20O14,-H+Na+K,641.0304082680907
76,4DHB-H+Na+K-3H2O,C28H18O13,-H+Na+K,623.0198435840907
77,4DHB-H+2K-2H2O,C28H20O14,-H+K2,657.0043455080908
78,4DHB-H+2K-3H2O,C28H18O13,-H+K2,638.9937808240908
79,4DHB-2H+Na+2K-2H2O,C28H20O14,-H2+Na+K2,678.9862901360907
80,4DHB-2H+3K-2H2O,C28H20O14,-H2+K3,694.9602273760906
81,5DHB-H+Na+K-3H2O,C35H24O17,-H+Na+K,777.0464522560907
82,5DHB-H+2K-3H2O,C35H24O17,-H+K2,793.0203894960907
83,5DHB-H+2K-4H2O,C35H22O16,-H+K2,775.0098248120908
84,5DHB-2H+3K-3H2O,C35H24O17,-H2+K3,830.9762713640907
