mol_id,mol_name,formula,adduct,mz
0,Norharmane+H,C11H8N2,+H,169.07602472809077
1,Norharmane+Na,C11H8N2,+Na,191.05796935609078
2,Norharmane+K,C11H8N2,+K,207.03190659609078
3,2Norharmane-H,C22H16N4,-H,335.1291229400908
4,2Norharmane+H,C22H16N4,+H,337.1447730040908
5,2Norharmane+Na,C22H16N4,+Na,359.12671763209073
6,2Norharmane+K,C22H16N4,+K,375.10065487209073
7,3Norharmane+H,C33H24N6,+H,505.21352128009073
8,3Norharmane+Na,C33H24N6,+Na,527.1954659080907
9,3Norharmane+K,C33H24N6,+K,543.1694031480907
