mol_id,mol_name,formula,adduct,mz
0,pNA-H,C6H6N2O2,-H,137.03565099990922
1,pNA-H-O,C6H6N2O,-H,121.04073637990923
2,pNA-H-H2,C6H4N2O2,-H,135.02000093590922
3,pNA-H-H2-O,C6H4N2O,-H,119.02508631590923
4,pNA-H-H2-NO,C6H4NO,-H,105.02201230590924
5,pNA-H-NH3+H2O,C6H5NO3,-H,138.01966657790925
6,2pNA-H-H2O,C12H10N4O3,-H,257.06801376790924
7,2pNA-H-H2-NO,C12H10N3O3,-H,243.06493975790923
8,2pNA-H-H2-NH3+H2O,C12H9N3O5,-H,274.04694396590924
9,2pNA-2H2,C12H8N4O4,,272.05510335590924
10,2pNA-2H2-O,C12H8N4O3,,256.06018873590926
11,2pNA-2H2-NO,C12H8N3O3,,242.0571147259092
12,2pNA-2H2-NO2+O2,C12H8N3O4,,258.05202934590926
13,2pNA-2H2-NH3+H2O,C12H7N3O5,,273.03911893390926
14,2pNA-H-2H2,C12H8N4O4,-H,271.04727832390927
15,2pNA-H-2H2-O,C12H8N4O3,-H,255.0523637039092
16,2pNA-H-2H2-NO,C12H8N3O3,-H,241.04928969390923
17,2pNA-H-2H2-NO2+O2,C12H8N3O4,-H,257.0442043139093
18,3pNA-H-H2-NH3+H2O,C18H15N5O7,-H,412.08987141790925
19,3pNA-H-2H2,C18H14N6O6,-H,409.0902057759092
20,3pNA-3H2,C18H12N6O6,,408.0823807439092
21,3pNA-H-3H2,C18H12N6O6,-H,407.0745557119093
22,4pNA-H-2H2,C24H20N8O8,-H,547.1331332279093
23,4pNA-H-3H2,C24H18N8O8,-H,545.1174831639092
24,4pNA-H-4H2,C24H16N8O8,-H,543.1018330999093
