mol_id,mol_name,formula,adduct,mz
0,pNA+H,C6H6N2O2,+H,139.05020390409075
1,pNA+H-NO2+O2,C6H6NO2,+H,125.04712989409077
2,pNA+H-O,C6H6N2O,+H,123.05528928409076
3,pNA+Na,C6H6N2O2,+Na,161.03214853209076
4,pNA+Na-O,C6H6N2O,+Na,145.03723391209076
5,pNA+Na-NO,C6H6NO,+Na,131.03415990209078
6,pNA+K,C6H6N2O2,+K,177.00608577209078
7,pNA+K-O,C6H6N2O,+K,161.01117115209078
8,pNA+K-NO,C6H6NO,+K,147.00809714209078
9,2pNA+H-2NO,C12H12N2O2,+H,217.09715409609078
10,2pNA+Na-2NO,C12H12N2O2,+Na,239.07909872409078
11,2pNA+K-2NO,C12H12N2O2,+K,255.05303596409078
