mol_id,mol_name,formula,adduct,mz
0,THAP-H,C8H8O4,-H,167.03498228390922
1,2THAP-H,C16H16O8,-H,335.07724101990925
2,2THAP-H-H2,C16H14O8,-H,333.06159095590925
3,2THAP-H-2H2,C16H12O8,-H,331.04594089190925
4,2THAP-H-3H2,C16H10O8,-H,329.03029082790925
5,2THAP-2H+Na,C16H16O8,-H2+Na,357.05918564790926
6,2THAP-2H+K,C16H16O8,-H2+K,373.03312288790926
7,3THAP-H-2H2,C24H20O12,-H,499.08819962790926
8,3THAP-H-3H2,C24H18O12,-H,497.07254956390926
9,3THAP-2H+Na-H2,C24H22O12,-H2+Na,523.0857943199092
10,3THAP-2H+K-H2,C24H22O12,-H2+K,539.0597315599092
11,3THAP-2H+K-2H2,C24H20O12,-H2+K,537.0440814959093
